SEXO;IDADE;RENDA;PERFIL_CONSUMIDOR_A;PERFIL_CONSUMIDOR_B;PERFIL_CONSUMIDOR_C;ESTADO_CIVIL_CASADO(A);ESTADO_CIVIL_DESQUITADO(A);ESTADO_CIVIL_DIVORCIADO(A);ESTADO_CIVIL_OUTROS;ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE;ESTADO_CIVIL_SOLTEIRO(A);AREA_CBO_0;AREA_CBO_1;AREA_CBO_2;AREA_CBO_3;AREA_CBO_4;AREA_CBO_5;AREA_CBO_6;AREA_CBO_7;AREA_CBO_8;AREA_CBO_9
0;0.6938485528654289;-0.6134429535885683;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
0;0.3242426814316978;-0.39054624874702426;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;1.3406588278744582;0.29870011993257;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;1.06345442429916;0.2476436907782988;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;-0.507370529294197;0.5830222165461543;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;0.8786514885822944;-0.636816823370574;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-0.507370529294197;-0.6365323196028798;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
0;0.23184121357326506;0.10602936959135267;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0.6938485528654289;-0.551798185417342;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;-1.1541808043032262;-0.9470356183568015;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;0.3242426814316978;0.34710346575918744;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-0.41496906143576423;-0.13781778137244088;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;-0.41496906143576423;-0.5721179243919322;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
